Human Adjudicated GT,,,,,,,,,,,
"This is a Human Adjudicated GT for a set of anonymized emails---suspected scam/impersonation emails collected by Panacea team members---wherein each row consists of an email number (1 is the first email in the pool), a sentence from that email, a potential Ask or Framing action (e.g., ""contact"", ""win""), arguments of that action, confidence score associated with Ask or Framing (if there is one), the Ask (e.g., ""contact""=PERFORM), the Framing (e.g., ""win""=GAIN), an Ask or Framing structure (including URL).  If there is an Ask, the designation as Top Ask is marked X if it is a top ask (or unmarked if not), and an Ask Category is provided. Potential Asks and Framings are extracted using dependency/constituency parsing and semantic role labeling (SRL). Experimental data associated with this Ground truth are available on the Ask Detection website. Note: The Case Index in GT is aligned with the Case Index in the Experimental Data. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,,,,,
,,,,,,,,,,,
Case Index,Email,Sentence,Action,Arg1,Arg2,Confidence,Ask,Framing,Ask or Framing Representation,Top Ask,Ask Category
203,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",send,a latest resume as well as an official photo ( for dcumentary use ),,0.9,PERFORM,,<PERFORM[send[a latest resume as well as an official photo ( for dcumentary use )(5)['personal']]]>,X,personal
204,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",agree,to join our committee,,,,,<[agree[to join our committee()[]]]>,,
205,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",join,our committee,,,PERFORM,,<[join[our committee()[]]]>,,
206,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",please,,,,,,<[please[()[]]]>,,
207,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",resume,,,,,,<[resume[()[]]]>,,
208,10,Thank you for considering our invitation.,thank,you,for considering our invitation,,,,<[Thank[you()[]]]>,,
209,10,Thank you for considering our invitation.,considering,our invitation,,0,PERFORM,,<PERFORM[considering[our invitation()[]]]>,,
210,10," If you have any questions, I can be reached at +999-499-9939 or at  confcommittee@IntSciEng.org",reached,i,,0.9,PERFORM,,<GAIN[reached[i(3)[]]]>,X,
211,10," If you have any questions, I can be reached at +999-499-9939 or at  confcommittee@IntSciEng.org",have,any questions,,,,,<[have[any questions()[]]]>,,
212,10," If you have any questions, I can be reached at +999-499-9939 or at  confcommittee@IntSciEng.org",be,,,,,,<[be[()[]]]>,,
213,10,Looking forward to your reply.,looking,to your reply,,0,,,<PERFORM[Looking[to your reply()[]]]>,,
214,10,Best regards.,regards,,,,,,<[regards[()[]]]>,,
215,10,--,--,,,,,,<[--[()[]]]>,,
216,10,"Sincerely,",sincerely,,,,,,<[sincerely[()[]]]>,,
217,10,Sharon M Teller,tsui,,,,,,<[tsui[()[]]]>,,
218,10,Conference Managing Director,conference,,,,,,<[conference[()[]]]>,,
219,10,www.IntSciEng.org,www.IntSciEng.org,,,,,,<[www.IntSciEng.org[()[]]]>,,
220,10,"Flat/rm Goldfarb International Tower 999 Ridge Blvd, London",flat/rm,,,,,,<[flat/rm[()[]]]>,,
221,10,Email:   confcommittee@IntSciEng.org;,email,,,,,,<[email[()['personal']]]>,,personal
222,10,Email:   confcommittee@IntSciEng.org;,confcommittee@IntSciEng.org,,,,,,<[confcommittee@IntSciEng.org[()[]]]>,,
223,10,Tel:+999-4999939,tel,,,,,,<[tel[()[]]]>,,
224,10,Tel:+999-4999939,-30695971,,,,,,<[-4999939[()[]]]>,,
225,11,Break into headquarters and hack the gibson.,break,into headquarters,,,,,<[Break[into headquarters()[]]]>,,
226,11,Break into headquarters and hack the gibson.,hack,the gibson,,,,,<[hack[the gibson()[]]]>,,
227,12,Just checking in.,checking,,,0,,,<PERFORM[checking[()[]]]>,,
228,12, How are things?,are,things,how,,,,<[are[things()[]]]>,,
229,12, Did you give Sally her gift yet?,give,her gift,sally,0.75,GIVE,,<GIVE[give[her gift()['scam_gift']]]>,X,scam_gift
230,12, You should do that.,do,that,,,PERFORM,,<[do[that()[]]]>,X,
231,13,Pet owners worldwide trust Bioflow magnetic therapy as an alternative to traditional medicine.,owners,,,,,,<[owners[()[]]]>,,
232,13,Pet owners worldwide trust Bioflow magnetic therapy as an alternative to traditional medicine.,therapy,,,,,,<[therapy[()[]]]>,,
233,13,This message is brought to you by a sponsor of  DogsAreFun.com,brought,this message,to you,0,,,<PERFORM[brought[this message(0)[]]]>,,
234,13,This message is brought to you by a sponsor of  DogsAreFun.com,is,,,,,,<[is[()[]]]>,,
235,13,DogsAreFun,DogsAreFun,,,,,,<[DogsAreFun[()[]]]>,,
236,13,29-Aug-19,august,,,,,,<[august[()[]]]>,,
237,13,Forward To A Friend,forward,,,0,GIVE,,<GIVE[forward[(2)[]]]>,X,
238,13,You've received this email as part of your free DogsAreFun email subscription.,received,this email,,0,,,<PERFORM[received[this email()['personal']]]>,,personal
239,13,privacy policy |  unsubscribe |  view online,policy,,,,,,<[policy[(4)[]]]>,,
240,13,privacy policy |  unsubscribe |  view online,|,,,,,,<[|[(5)[]]]>,,
241,13,privacy policy |  unsubscribe |  view online,unsubscribe,,,,PERFORM,,<[unsubscribe[(5)[]]]>,X,
242,13,privacy policy |  unsubscribe |  view online,view,privacy policy,,0.9,PERFORM,,<PERFORM[view[privacy policy(3)[]]]>,X,
243,13,© 2019 DogTown Media | All rights reserved.,reserved,all rights,,0.9,,,<GAIN[reserved[all rights()[]]]>,,
244,13,© 2019 DogTown Media | All rights reserved.,©,,,,,,<[©[()[]]]>,,
245,13,© 2019 DogTown Media | All rights reserved.,media,,,,,,<[media[()[]]]>,,
246,13,© 2019 DogTown Media | All rights reserved.,|,,,,,,<[|[()[]]]>,,
247,13," 999 Sycamore Blvd, Morristown, NJ",avenue,,,,,,<[avenue[()[]]]>,,
248,14,Are you :,are,you,,,,,<[Are[you()[]]]>,,
249,14,Professor,professor,,,,,,<[professor[()[]]]>,,
250,14,Dean of Sciences,dean,,,,,,<[dean[()[]]]>,,
251,14,Dean of Sciences,sciences,,,,,,<[sciences[()[]]]>,,
252,14,E-mail:smith@example.com,e-mail,,,0,PERFORM,,<PERFORM[e-mail[()['personal']]]>,X,personal
253,14,E-mail:smith@example.com,smith@example.com,,,,,,<[smith@example.com[()[]]]>,,
254,14,Phone:,phone,,,0,PERFORM,,<PERFORM[phone[()['personal']]]>,X,personal
255,14,(999)2293999,#NAME?,,,,,,<[-lrb-999-rrb-3993999[()[]]]>,,
256,14,Location:,location,,,,,,<[location[()[]]]>,,
257,14,Building 200,building,,,,,,<[building[()['privileged_information']]]>,,privileged_information
258,15,Limited-time only.,limited-time,,,,,,<[limited-time[()[]]]>,,
259,15,Black Friday starts now!,starts,black friday,,0.7,,,<PERFORM[starts[black friday()[]]]>,,
260,15,Introducing GoodlySearch Home and ViewToob Red,introducing,,,,,,<[introducing[()[]]]>,,
261,15,GET IT NOW  >>,get,it,,0.9,,GAIN,<GAIN[GET[it()[]]]>,,
262,15,GET IT NOW  >>,>>,,,,,,<[>>[()[]]]>,,
263,15,* Restrictions apply.,apply,restrictions,,,,,<[apply[restrictions()['phishing']]]>,,phishing
264,15,* Restrictions apply.,*,,,,,,<[*[()[]]]>,,
265,15,"For a limited time, get GoodlySearch Home for only $99 (regularly $129).",get,goodlysearch home,,0.9,,GAIN,<GAIN[get[goodlysearch home()[]]]>,,
266,15, It’s powered by the GoodlySearch Assistant.,powered,it,,,,,<[powered[it()[]]]>,,
267,15, Ask it questions.,questions,,,,PERFORM,,<[questions[()[]]]>,X,
268,15, Tell it to play music.,play,music,,,PERFORM,,<[play[music()[]]]>,X,
269,15," It’s your own GoodlySearch, always ready to help.And your GoodlySearch Home purchase includes 6 free months of ViewToob Red.",includes,6 free months of viewtoob red,your goodlysearch home purchase,,,,<[includes[6 free months of viewtoob red()[]]]>,,
270,15," Together, ViewToob Red and GoodlySearch Home are an awesome way to play music from ViewToob at home—just by using your voice!Don’t miss out on this Black Friday special.",way,,,,,,<[way[()[]]]>,,
271,15," Together, ViewToob Red and GoodlySearch Home are an awesome way to play music from ViewToob at home—just by using your voice!Don’t miss out on this Black Friday special.",are,viewtoob red and goodlysearch home,an awesome way to play music from viewtoob at home — just by using your voice!don’t miss out on this black friday special,,,,<[are[viewtoob red and goodlysearch home()[]]]>,,
272,15," Together, ViewToob Red and GoodlySearch Home are an awesome way to play music from ViewToob at home—just by using your voice!Don’t miss out on this Black Friday special.",play,music from viewtoob,,,,,<[play[music from viewtoob()[]]]>,,
273,15," Together, ViewToob Red and goodlysearch Home are an awesome way to play music from ViewToob at home—just by using your voice!Don’t miss out on this Black Friday special.",using,your,,,,,<[using[your()[]]]>,,
274,15," Together, ViewToob Red and goodlysearch Home are an awesome way to play music from ViewToob at home—just by using your voice!Don’t miss out on this Black Friday special.",miss,on this black friday special,,,,,<[miss[on this black friday special()[]]]>,,
275,15,GET IT NOW  >>,get,it,,0.9,,GAIN,<GAIN[GET[it()[]]]>,,
276,15,GET IT NOW  >>,>>,,,,,,<[>>[()[]]]>,,
277,15,*Offer Restrictions: New members only.,restrictions,,,,,,<[restrictions[()[]]]>,,
278,15,*Offer Restrictions: New members only.,*,,,,,,<[*[()[]]]>,,
279,15,*Offer Restrictions: New members only.,members,,,,,,<[members[()[]]]>,,
280,15, GoodlySearch Home discount available through 11/28/2016.,available,,,,,,<[available[()[]]]>,,
281,15, ViewToob Red 6-month free offer must be redeemed before 12/31/2016.,redeemed,viewtoob red 6-month free offer,,0,PERFORM,,<PERFORM[redeemed[viewtoob red 6-month free offer()['business']]]>,X,business
282,15, ViewToob Red 6-month free offer must be redeemed before 12/31/2016.,be,,,,,,<[be[()[]]]>,,
283,15,  Terms apply.,apply,terms,,,,,<[apply[terms()['phishing']]]>,,phishing
284,15,"© 2016 ViewToob, 200 Oak Tree Lane, Los Feliz, Ca   This email was sent to  john.smith@example.com because you indicated that you are willing to receive emails about general updates, announcements, and videos.",was,,,,,,<[was[()[]]]>,,
285,15,"© 2016 ViewToob, 200 Oak Tree Lane, Los Feliz, Ca   This email was sent to  john.smith@example.com because you indicated that you are willing to receive emails about general updates, announcements, and videos.",indicated,"that you are willing to receive emails about general updates , announcements , and videos",,,,,"<[indicated[that you are willing to receive emails about general updates , announcements , and videos()[]]]>",,
286,15,"© 2016 ViewToob, 200 Oak Tree Lane, Los Feliz, Ca   This email was sent to  john.smith@example.com because you indicated that you are willing to receive emails about general updates, announcements, and videos.",are,you,"willing to receive emails about general updates , announcements , and videos",,,,<[are[you()[]]]>,,
287,15,"© 2016 ViewToob, 200 Oak Tree Lane, Los Feliz, Ca   This email was sent to  john.smith@example.com because you indicated that you are willing to receive emails about general updates, announcements, and videos.",receive,"emails about general updates , announcements , and videos",,0.7,PERFORM,,"<PERFORM[receive[emails about general updates , announcements , and videos()[]]]>",,
288,15," If you do not wish to receive such emails in the future, please unsubscribe  here.",do,,,,,,<[do[()[]]]>,,
289,15," If you do not wish to receive such emails in the future, please unsubscribe  here.",wish,to receive such emails in the future,,,,,<[NOT wish[to receive such emails in the future()[]]]>,,
290,15," If you do not wish to receive such emails in the future, please unsubscribe  here.",receive,such emails,,0.7,,,<PERFORM[receive[such emails()[]]]>,,
291,15, You can also change your preferences by visiting your  Email Options in your ViewToob account at  www.ViewToob.com/accountnotifications.,change,your preferences,,,PERFORM,,"<[change[your preferences(5,6)[]]]>",X,
292,15, You can also change your preferences by visiting your  Email Options in your ViewToob account at  www.ViewToob.com/accountnotifications.,visiting,your email options,,0,PERFORM,,"<PERFORM[visiting[your email options(5,6,6)['personal']]]>",X,personal
293,16,"Hi,",hi,,,,,,<[hi[()[]]]>,,
294,16,Hope you are doing well!,hope,you are doing well,,,,,<[Hope[you are doing well()[]]]>,,
295,16,Hope you are doing well!,are,,,,,,<[are[()[]]]>,,
296,16,Hope you are doing well!,doing,,,,,,<[doing[()[]]]>,,
297,16,I am writing this email to request for your kind revert on our previous email.,writing,this email,,,,,<[writing[this email()['personal']]]>,,personal
298,16,I am writing this email to request for your kind revert on our previous email.,am,,,,,,<[am[()[]]]>,,
299,16,I am writing this email to request for your kind revert on our previous email.,revert,,,,PERFORM,,<[revert[()[]]]>,X,
300,16,"Regards,",regards,,,,,,<[regards[()[]]]>,,
301,16,John  Walker,walker,,,,,,<[walker[()[]]]>,,
302,17,"Dear Friend,",friend,,,,,,<[friend[()[]]]>,,
303,17,I am a banker by profession from Burkina-Faso in West Africa and currently holding the post of Manager of bill and exchange at the foreign remittance department of a Bank located Burkina Faso.,banker,,,,,,<[banker[()[]]]>,,
304,17,I am a banker by profession from Burkina-Faso in West Africa and currently holding the post of Manager of bill and exchange at the foreign remittance department of a Bank located Burkina Faso.,holding,the post of manager of bill and exchange at the foreign remittance department of a bank located burkina faso,,,,,<[holding[the post of manager of bill and exchange at the foreign remittance department of a bank located burkina faso()['finance_info']]]>,,finance_info
305,17,I am a banker by profession from Burkina-Faso in West Africa and currently holding the post of Manager of bill and exchange at the foreign remittance department of a Bank located Burkina Faso.,am,i,a banker by profession from burkina - faso in west africa,,,,<[am[i()[]]]>,,
306,17, I have the opportunity of transferring the abandon funds ($31.5 Million USD) of one of my banks client who died along with his entire family on 6th December 2003 in a plane crash.,have,the opportunity of transferring the abandon funds ( $ 31.5 million usd ) of one of my banks client who died along with his entire family on 6th december 2003 in a plane crash,,,,,<[have[the opportunity of transferring the abandon funds ( $ 31.5 million usd ) of one of my banks client who died along with his entire family on 6th december 2003 in a plane crash()['finance_money']]]>,,finance_money
307,17, I have the opportunity of transferring the abandon funds ($31.5 Million USD) of one of my banks client who died along with his entire family on 6th December 2003 in a plane crash.,transferring,the abandon funds ( $ 31.5 million usd ) of one of my banks client who died along with his entire family on 6th december 2003 in a plane crash,,0,,GAIN,<GIVE[transferring[the abandon funds ( $ 31.5 million usd ) of one of my banks client who died along with his entire family on 6th december 2003 in a plane crash()['finance_money']]]>,,finance_money
308,17, I have the opportunity of transferring the abandon funds ($31.5 Million USD) of one of my banks client who died along with his entire family on 6th December 2003 in a plane crash.,abandon,,,0.9,,,<LOSE[abandon[()[]]]>,,
309,17, I have the opportunity of transferring the abandon funds ($31.5 Million USD) of one of my banks client who died along with his entire family on 6th December 2003 in a plane crash.,died,my banks client,,0.9,,,<LOSE[died[my banks client()[]]]>,,
310,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",got,information about his death,,0.9,,,<GAIN[got[information about his death()[]]]>,,
311,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",have,,,,,,<[have[()[]]]>,,
312,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",been,,,,,,<[been[()[]]]>,,
313,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",come,his next of kin,,,,,<[come[his next of kin()[]]]>,,
314,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",claim,his money,,,,GAIN,<[claim[his money()['finance_money']]]>,,finance_money
315,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",release,it,,,,,<[NOT release[it()[]]]>,,
316,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",applies,for as next of kin or relation to the deceased,,,,,<[applies[for as next of kin or relation to the deceased()[]]]>,,
317,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",deceased,,,,,,<[deceased[()[]]]>,,
318,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",indicated,,,,,,<[indicated[()[]]]>,,
319,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",learnt,that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim,,,,,<[learnt[that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim()[]]]>,,
320,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",supposed,next,,,,,<[supposed[next()[]]]>,,
321,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",died,all his supposed next of kin or relation,,0.9,,,<LOSE[died[all his supposed next of kin or relation()[]]]>,,
322,17,"Since we got information about his death, we have been expecting his next of kin to come over and claim his money because we cannot release it unless somebody applies for as next of kin or relation to the deceased as indicated in our banking guidelines but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim.",leaving,nobody,for the claim,0,,,<GIVE[leaving[nobody()[]]]>,,
323,17,"The Banking law and guideline here stipulates that if such money remained unclaimed after Eight to Nine years an above, the money will be transferred into the Bank treasury as unclaimed fund.",transferred,the money,into the bank treasury,0,,,"<GIVE[transferred[the money()['finance_money', 'finance_info']]]>",,"finance_money,finance_info"
324,17,"The Banking law and guideline here stipulates that if such money remained unclaimed after Eight to Nine years an above, the money will be transferred into the Bank treasury as unclaimed fund.",remained,such money,,,,,<[remained[such money()['finance_money']]]>,,finance_money
325,17,"The Banking law and guideline here stipulates that if such money remained unclaimed after Eight to Nine years an above, the money will be transferred into the Bank treasury as unclaimed fund.",be,,,,,,<[be[()[]]]>,,
326,17," I agree that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account, and while 60 %would be for me.",agree,"that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account , and while 60 % would be for me",,,,,"<[agree[that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account , and while 60 % would be for me()['finance_money', 'finance_info', 'credentials']]]>",,"finance_money,finance_info,credentials"
327,17," I agree that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account, and while 60 %would be for me.",you,,,,,,<[you[()[]]]>,,
328,17," I agree that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account, and while 60 %would be for me.",be,60%,for me,,,,<[be[60 %()[]]]>,,
329,17," I agree that 40 % of this money will be for you as foreign partner in respect to the provision of a foreign account, and while 60 %would be for me.",be,60%,for me,,,,<[be[60 %()[]]]>,,
330,17,There after I will visit your country for disbursement according to the percentages indicated.,there,,,,,,<[there[()[]]]>,,
331,17,There after I will visit your country for disbursement according to the percentages indicated.,visit,your country,,0.7,,,<PERFORM[visit[your country()[]]]>,,
332,17,There after I will visit your country for disbursement according to the percentages indicated.,according,,,,,,<[according[()[]]]>,,
333,17,There after I will visit your country for disbursement according to the percentages indicated.,indicated,the percentages,,,,,<[indicated[the percentages()[]]]>,,
334,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",apply,to the bank,,,PERFORM,,"<[apply[to the bank()['finance_info', 'phishing']]]>",X,"finance_info,phishing"
335,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",enable,the immediate transfer of this fund,to you,,,,<[enable[the immediate transfer of this fund()['finance_info']]]>,,finance_info
336,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",arranged,,,0,,,<PERFORM[arranged[()[]]]>,,
337,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",indicating,"your bank name , your bank account number , your private telephone and fax number for easy and effective communication and location where the money will be remitted",,,PERFORM,,"<[indicating[your bank name , your bank account number , your private telephone and fax number for easy and effective communication and location where the money will be remitted()['finance_money', 'finance_info', 'credentials']]]>",X,"finance_money,finance_info,credentials"
338,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",be,,,,,,<[be[()[]]]>,,
339,17," Therefore to enable the immediate transfer of this fund to you as arranged, you must apply first to the bank as relations or next of kin of the deceased indicating your bank name, your bank account number, your private telephone and fax number for easy and effective communication and location where the money will be remitted.",remitted,the money,,0,,GAIN,<GIVE[remitted[the money()['finance_money']]]>,,finance_money
340,17," Upon receipt of your reply, I will send to you by fax or email the text of the application.",send,to you,by fax,0.7,,,<PERFORM[send[to you()[]]]>,,
341,17," Upon receipt of your reply, I will send to you by fax or email the text of the application.",email,the text of the application,,,,,<[email[the text of the application()['personal']]]>,,personal
342,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,bring,that this transaction is hitch free,to your notice,0.8,,,<PERFORM[bring[that this transaction is hitch free()['finance_info']]]>,,finance_info
343,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,is,this transaction,hitch free,,,,<[is[this transaction()['finance_info']]]>,,finance_info
344,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,entertain,atom,,,,,<[NOT entertain[atom()[]]]>,,
345,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,required,arrangements,,,,,<[required[arrangements()[]]]>,,
346,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,have,,,,,,<[have[()[]]]>,,
347,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,been,,,,,,<[been[()[]]]>,,
348,17, I will not fail to bring to your notice that this transaction is hitch free and that you should no entertain any atom of fear as all required arrangements have been made for the transfer.,made,all required arrangements,,,,,<[made[all required arrangements()[]]]>,,
349,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",entertain,any atom of fear,,,,,<[NOT entertain[any atom of fear()[]]]>,,
350,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",fail,i,to bring to your notice this transaction is hitch - free and that you should not entertain any atom of fear as all required arrangements have been made for the transfer,,,,<[NOT fail[i()['finance_info']]]>,,finance_info
351,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",bring,this transaction is hitch - free,to your notice,0.8,,,<PERFORM[bring[this transaction is hitch - free()['finance_info']]]>,,finance_info
352,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",is,this transaction,hitch - free,,,,<[is[this transaction()['finance_info']]]>,,finance_info
353,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",required,arrangements,,,,,<[required[arrangements()[]]]>,,
354,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",have,,,,,,<[have[()[]]]>,,
355,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",been,,,,,,<[been[()[]]]>,,
356,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",made,all required arrangements,,,,,<[made[all required arrangements()[]]]>,,
357,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",please,,,,,,<[please[()[]]]>,,
358,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",treat,this business,,,,,<[treat[this business()['business']]]>,,business
359,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",contact,me,,0.7,PERFORM,,<PERFORM[contact[me()[]]]>,X,
360,17,"I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required Arrangements have been made for the transfer, please treat this business with utmost confidentiality and you should contact me immediately as soon as you receive this letter.",receive,this letter,,0.7,,,<PERFORM[receive[this letter()[]]]>,,
361,17,Please make sure you keep this transaction as your top secret and make it confidential till we receive the fund into the account that you will provide to the Bank.,sure,,,,,,<[sure[()[]]]>,,
362,17,Please make sure you keep this transaction as your top secret and make it confidential till we receive the fund into the account that you will provide to the Bank.,receive,the fund,into the account that you will provide to the bank,0.8,PERFORM,,"<PERFORM[receive[the fund()['finance_info', 'credentials']]]>",,"finance_info,credentials"
363,17,Please make sure you keep this transaction as your top secret and make it confidential till we receive the fund into the account that you will provide to the Bank.,keep,this transaction,,0.9,PERFORM,,<GAIN[keep[this transaction()['finance_info']]]>,,finance_info
364,17,Please make sure you keep this transaction as your top secret and make it confidential till we receive the fund into the account that you will provide to the Bank.,provide,the account,to the bank,0.8,PERFORM,,"<PERFORM[provide[the account()['finance_info', 'credentials']]]>",,"finance_info,credentials"
365,17," Dont disclose it to any body, because the secrecy of this transaction is as well as the success of it.",disclose,it,to any body,,,,<[disclose[it()[]]]>,,
